scenario_key,city,season,pollutant,endpoint,framework,output_scale,counterfactual,crf_mapping,source_pollutant,cases_mean_primary,cases_median_primary,cases_p025_primary,cases_p975_primary,pm_mean_of_samples_primary,exposure_contrast_mean_primary,share_samples_above_counterfactual_primary,cases_mean_upper_tail_capped,cases_median_upper_tail_capped,cases_p025_upper_tail_capped,cases_p975_upper_tail_capped,pm_mean_of_samples_upper_tail_capped,exposure_contrast_mean_upper_tail_capped,share_samples_above_counterfactual_upper_tail_capped,upper_tail_cap_quantile,status,notes
Thessaloniki_Summer_PM2.5_Cardiac hospital admissions,Thessaloniki,Summer,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,15.0,converted_from_pm10,PM10,0.5142717246365693,0.1931031354868247,0.0,4.056983965575896,23.972520308959982,9.99059375959043,0.7222,0.339167594607052,0.19310313548682478,0.0,1.530400787899204,20.41678059670721,6.434854047337651,0.7222,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM2.5_Cardiovascular,Thessaloniki,Summer,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,5.0,direct,PM2.5,604.1657127731697,592.1147073955456,397.34318757814464,863.7823223793447,24.073292295904004,19.073292295904004,1.0,502.87110439687103,497.89463643755715,351.32270839691046,680.4606275441035,20.517220850683834,15.517220850683833,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM2.5_Chronic bronchitis,Thessaloniki,Summer,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,5.0,converted_from_pm10,PM10,211.92224925424875,206.88019118460372,81.30723657900008,364.34467041819073,24.06053126004824,19.060531260048243,1.0,178.13137660898386,174.6077587296827,69.2272232368328,301.6125799757469,20.46077971053269,15.460779710532693,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM2.5_Mortality all causes,Thessaloniki,Summer,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,5.0,direct,PM2.5,978.4367203771312,956.4958259716802,562.8086933875006,1530.3181388066473,24.053745697457423,19.053745697457423,1.0,804.1037714183842,791.9863413144088,487.62923939124414,1187.0398847856286,20.47667387275386,15.476673872753858,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Summer_PM2.5_Respiratory hospital admissions,Thessaloniki,Summer,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,15.0,converted_from_pm10,PM10,0.4290421747489767,0.1634591754305261,0.0,3.742935553490497,24.408564949729488,10.42602550697427,0.7205,0.27636062485629037,0.16345917543052613,0.0,1.2020777126897964,20.474483231809103,6.491943789053884,0.7205,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM10_Cardiac hospital admissions,Thessaloniki,Winter,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,45.0,direct,PM10,0.1968063274790637,0.0,0.0,1.6585890826701293,37.14452243084207,5.979747191787276,0.312,0.16043230519129098,0.0,0.0,1.1219382729138128,36.03020880489829,4.8654335658434995,0.312,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM10_Cardiovascular,Thessaloniki,Winter,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,459.61392477997,452.34780545239903,226.4127458141957,739.0703449229102,36.9911532922354,21.991153292235406,1.0,440.10804599431856,432.8455467278762,215.18621795380915,711.0490172271026,35.972119711519234,20.972119711519234,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM10_Chronic bronchitis,Thessaloniki,Winter,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,163.14884812484922,160.45231071440708,65.46683662789762,277.7366825785336,37.0194438515432,22.01944385154319,1.0,156.530691092866,154.05597350841822,62.81126519840883,267.0166076793509,36.000459110103904,21.000459110103897,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM10_Mortality all causes,Thessaloniki,Winter,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,15.0,direct,PM10,1414.8249207320453,1391.6511125200536,801.4755981458464,2159.551527068372,36.93371267952473,21.93371267952473,1.0,1354.7357656162262,1332.1326764479925,766.449831435864,2071.4315202399057,35.91759490209891,20.91759490209891,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM10_Respiratory hospital admissions,Thessaloniki,Winter,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,45.0,direct,PM10,0.1567191302428091,0.0,0.0,1.261047275149308,36.78742548384321,5.80795708044381,0.3125,0.13085421767006603,0.0,0.0,0.8787804145603332,35.80765822928327,4.828189825883872,0.3125,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM2.5_Cardiac hospital admissions,Thessaloniki,Winter,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,15.0,converted_from_pm10,PM10,0.99617133514892,0.6649343078128294,0.0,3.775791264517306,33.45269446701149,19.245325342953727,0.8266,0.9509645611597604,0.6649343078128294,0.0,3.328690148568732,32.54875901098279,18.341389886925025,0.8266,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM2.5_Cardiovascular,Thessaloniki,Winter,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,5.0,direct,PM2.5,859.3757437169768,853.9868029831746,629.1726401930453,1122.8733754848513,33.615927279256205,28.6159272792562,1.0,835.6786077398699,830.5703869233907,612.8553137929298,1090.236382298721,32.67595180736691,27.675951807366904,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM2.5_Chronic bronchitis,Thessaloniki,Winter,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,5.0,converted_from_pm10,PM10,293.5596326832044,292.4312443310006,126.33923117584696,462.9994055442465,33.70054088237203,28.700540882372028,1.0,286.26488091837524,285.0631536008731,123.18968774526056,453.3403097665571,32.75748592183868,27.757485921838686,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM2.5_Mortality all causes,Thessaloniki,Winter,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,5.0,direct,PM2.5,1427.3698736648275,1411.5853920952022,895.8109636621073,2057.6546538377843,33.594868477900015,28.594868477900025,1.0,1384.3171990243065,1369.233631063591,869.5749661761448,1997.5919188171506,32.652369934411134,27.652369934411137,1.0,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
Thessaloniki_Winter_PM2.5_Respiratory hospital admissions,Thessaloniki,Winter,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,15.0,converted_from_pm10,PM10,0.8028797229192561,0.5704179481633984,0.0,2.9524872915849065,33.33446295113505,19.13839527720275,0.8263,0.7660802129845133,0.5704179481633984,0.0,2.4710015981604943,32.39757327700904,18.201505603076743,0.8263,0.95,PASS,Primary and capped HIA rows merged by scenario_key; PM2.5 and PM10 remain separate.
