scenario_key,city,season,pollutant,endpoint,framework,output_scale,source_device,exposure_metric,counterfactual,counterfactual_basis,crf_mapping,source_pollutant,rr_per10,rr_ci_low,rr_ci_high,reference_note,n_samples,baseline_rate,baseline_rate_scale,population,pm_mean_of_samples,exposure_contrast_mean,share_samples_above_counterfactual,cases_mean,cases_median,cases_p025,cases_p975,pm25_pm10_ratio_mean_if_applicable,pm25_pm10_ratio_sd_if_applicable,notes
Thessaloniki_Summer_PM10_Cardiac hospital admissions,Thessaloniki,Summer,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.006,1.003,1.009,Hurley et al.,10000,5.1257534246575345e-05,daily_rate_per_person,1092919,28.963594847829985,4.512095519997255,0.1187,0.14566069703657739,0.0,0.0,1.9825393999194372,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM10_Cardiovascular,Thessaloniki,Summer,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.08,1.042,1.12,Orellano et al.,10000,0.002726,annual_rate_per_person,1092919,28.959856523371727,13.95985652337173,1.0,300.91562713939356,288.6367318504332,116.54559441310808,556.2773335558517,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM10_Chronic bronchitis,Thessaloniki,Summer,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.117,1.04,1.189,WHO/HRAPIE,10000,0.0007,annual_rate_per_person,1092919,28.983719671707554,13.983719671707547,1.0,107.89116842589232,103.49855819128518,36.25428726953862,205.26887794138088,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM10_Mortality all causes,Thessaloniki,Summer,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.081,1.052,1.11,Orellano et al.,10000,0.00828,annual_rate_per_person,1092919,28.935381064632896,13.935381064632896,1.0,925.9301477165025,891.2962888307524,399.53342367044064,1617.9182402639265,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM10_Respiratory hospital admissions,Thessaloniki,Summer,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.009,1.007,1.01,Hurley et al.,10000,2.7887671232876714e-05,daily_rate_per_person,1092919,29.05340250637182,4.549423730693615,0.1176,0.11951883227896799,0.0,0.0,1.683218269354202,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM2.5_Cardiac hospital admissions,Thessaloniki,Summer,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.006,1.003,1.009,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,5.1257534246575345e-05,daily_rate_per_person,1092919,23.972520308959986,9.99059375959043,0.7222,0.5142717246365693,0.19310313548682478,0.0,4.0569839655758955,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM2.5_Cardiovascular,Thessaloniki,Summer,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.127,1.102,1.152,Orellano et al.,10000,0.002726,annual_rate_per_person,1092919,24.073292295904004,19.073292295904004,1.0,604.1657127731697,592.1147073955456,397.34318757814464,863.7823223793447,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM2.5_Chronic bronchitis,Thessaloniki,Summer,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.117,1.04,1.189,WHO/HRAPIE PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,0.0007,annual_rate_per_person,1092919,24.06053126004824,19.060531260048243,1.0,211.92224925424875,206.88019118460375,81.30723657900008,364.34467041819073,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM2.5_Mortality all causes,Thessaloniki,Summer,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.062,1.04,1.083,WHO/HRAPIE; Orellano et al.,10000,0.00828,annual_rate_per_person,1092919,24.053745697457426,19.053745697457426,1.0,978.4367203771313,956.4958259716802,562.8086933875006,1530.3181388066473,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Summer_PM2.5_Respiratory hospital admissions,Thessaloniki,Summer,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.009,1.007,1.01,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,2.7887671232876714e-05,daily_rate_per_person,1092919,24.408564949729488,10.42602550697427,0.7205,0.42904217474897677,0.16345917543052613,0.0,3.742935553490497,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
