outcome,pollutant,lag_min,model_type,beta_per_1ug,se_per_1ug,ci_low_per_1ug,ci_high_per_1ug,p_value,beta_per_10ug,ci_low_per_10ug,ci_high_per_10ug,n_rows,n_participants,random_effect_structure,fixed_effects,aic,bic,log_likelihood,converged,warnings,status,notes
Garmin-derived average heart rate,PM10,60,unadjusted,0.020352931076519906,0.007205465753224189,0.006230218200200496,0.034475643952839315,0.0047332036817676485,0.20352931076519906,0.06230218200200496,0.34475643952839313,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,120,unadjusted,0.005176568509586238,0.007279743195370556,-0.00909172815334005,0.019444865172512527,0.4770271112250384,0.05176568509586238,-0.09091728153340049,0.19444865172512527,10000,125,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,1,unadjusted,0.014985261900649922,0.015044706193757829,-0.014502362239115423,0.04447288604041527,0.3192264236459236,0.1498526190064992,-0.14502362239115424,0.4447288604041527,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,5,unadjusted,0.01757635266045002,0.01492479846912503,-0.011676252339035038,0.04682895765993508,0.2389317921899825,0.1757635266045002,-0.11676252339035037,0.46828957659935083,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,10,unadjusted,0.026261786967702407,0.014632108534016534,-0.0024171457589700004,0.054940719694374814,0.0726847149811825,0.26261786967702405,-0.024171457589700004,0.5494071969437482,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,15,unadjusted,0.018083728634802263,0.014560719628729629,-0.01045528183750781,0.046622739107112336,0.21425392359105866,0.18083728634802262,-0.1045528183750781,0.4662273910711234,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,30,unadjusted,0.017968172062501758,0.01464318351314262,-0.010732467623257774,0.04666881174826129,0.21979728661212605,0.17968172062501758,-0.10732467623257774,0.4666881174826129,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,45,unadjusted,0.02095555226212556,0.014733469131694035,-0.00792204723599475,0.04983315176024587,0.15493643900548718,0.2095555226212556,-0.0792204723599475,0.49833151760245875,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,60,unadjusted,0.008448092929217011,0.014685631293190168,-0.020335744405435716,0.03723193026386974,0.5651137810016347,0.08448092929217012,-0.20335744405435716,0.3723193026386974,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,120,unadjusted,0.006195623171570797,0.01451416829299556,-0.0222521466827005,0.034643393025842094,0.6694760172826485,0.06195623171570797,-0.22252146682700502,0.34643393025842095,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
