outcome,pollutant,lag_min,model_type,beta_per_1ug,se_per_1ug,ci_low_per_1ug,ci_high_per_1ug,p_value,beta_per_10ug,ci_low_per_10ug,ci_high_per_10ug,n_rows,n_participants,random_effect_structure,fixed_effects,aic,bic,log_likelihood,converged,warnings,status,notes
Garmin-derived stress index,PM2.5,5,adjusted,-0.0032306114157772525,0.010238279440595036,-0.023297639119343523,0.016836416287789015,0.7523498524312388,-0.03230611415777253,-0.23297639119343522,0.16836416287789013,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,10,adjusted,-0.0059199187708104135,0.010121636933433391,-0.025758327160339857,0.013918489618719032,0.5586300177792164,-0.05919918770810413,-0.25758327160339856,0.13918489618719032,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,15,adjusted,-0.0037384784667377456,0.010240047190226784,-0.023808970959582242,0.01633201402610675,0.7150486253730886,-0.037384784667377456,-0.23808970959582243,0.1633201402610675,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,30,adjusted,0.0024860875117323593,0.010208036587303194,-0.0175216641993819,0.022493839222846618,0.8075854114897898,0.024860875117323593,-0.17521664199381898,0.22493839222846618,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,45,adjusted,0.006778995325394505,0.010120183314852501,-0.013056563971716395,0.026614554622505407,0.5029540125937897,0.06778995325394505,-0.13056563971716395,0.26614554622505404,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,60,adjusted,0.005018585778110757,0.01026581073772318,-0.015102403267826676,0.02513957482404819,0.6249379511988163,0.05018585778110757,-0.15102403267826675,0.2513957482404819,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,120,adjusted,-0.0074605589258916714,0.010265251127428522,-0.027580451135651576,0.012659333283868233,0.4673619477389278,-0.07460558925891672,-0.27580451135651574,0.12659333283868232,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,1,adjusted,-0.010067856283811467,0.009967656468098753,-0.029604462961285022,0.009468750393662087,0.31247014029210507,-0.10067856283811467,-0.2960446296128502,0.09468750393662087,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,5,adjusted,-0.014675495044563773,0.009902424864959432,-0.03408424777988426,0.004733257690756713,0.138337570477056,-0.14675495044563774,-0.3408424777988426,0.047332576907567134,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,10,adjusted,-0.009318653018745165,0.00981330389943262,-0.0285527286616331,0.009915422624142769,0.34231866524059784,-0.09318653018745165,-0.285527286616331,0.0991542262414277,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,15,adjusted,-0.014038726140860682,0.009896723558170756,-0.03343630431487536,0.005358852033153998,0.15603824209897654,-0.14038726140860683,-0.33436304314875365,0.05358852033153998,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,30,adjusted,-0.011894000643242343,0.009827009780271552,-0.031154939812574584,0.007366938526089897,0.22614932811737232,-0.11894000643242343,-0.31154939812574584,0.07366938526089897,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,45,adjusted,-0.005206580263786044,0.00973517925568187,-0.02428753160492251,0.013874371077350421,0.5927735010922981,-0.05206580263786044,-0.24287531604922508,0.13874371077350423,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,60,adjusted,-0.003869129852853743,0.009816543164091755,-0.02310955445447358,0.015371294748766097,0.6934748580677054,-0.038691298528537435,-0.2310955445447358,0.15371294748766096,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,120,adjusted,-0.012300690039473544,0.009905817549379544,-0.03171609243625745,0.007114712357310362,0.21432355880355447,-0.12300690039473544,-0.3171609243625745,0.07114712357310363,10000,120,participant-specific random intercept,city; season; hour; weekend; activity,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
